Price

101129.12
239.62
3903.66
6.5261
0.52847
0.7246
1.3602
2.4135


1.3663
0.009528
2.4135
15.1427
8.4977
2.0324
15.5981
0.33197
0.47442
1.7184
24.3028
2.8188
6.4657
0.006345
0.487
0.06382

101129.12
731.76
3903.66


10.984
1.5148



7.9447
